site,taxon,class,n
na1,AGAR,<4cm,0
na1,AGAR,>4cm,0
na1,CNAT,>4cm,0
na1,DLAB,>4cm,0
na1,DSTO,>4cm,0
na1,EFAS,>4cm,0
na1,FAVI,<4cm,0
na1,MADR,<4cm,0
na1,MADR,>4cm,0
na1,MCAV,<4cm,0
na1,MCAV,>4cm,0
na1,MEAN,<4cm,0
na1,MMEA,>4cm,0
na1,MUSS,<4cm,0
na1,MYCE,>4cm,0
na1,OCUL,<4cm,0
na1,OCUL,>4cm,0
na1,ORBI,<4cm,0
na1,ORBI,>4cm,0
na1,PCLI,>4cm,0
na1,PORI,<4cm,0
na1,PORI,>4cm,0
na1,PSTR,>4cm,0
na1,SIDE,<4cm,20
na1,SIDE,>4cm,1
na1,SINT,<4cm,0
na1,SINT,>4cm,0
na1,SOLE,<4cm,0
na1,SOLE,>4cm,0
na2,AGAR,<4cm,0
na2,AGAR,>4cm,0
na2,CNAT,>4cm,0
na2,DLAB,>4cm,0
na2,DSTO,>4cm,1
na2,EFAS,>4cm,0
na2,FAVI,<4cm,0
na2,MADR,<4cm,0
na2,MADR,>4cm,0
na2,MCAV,<4cm,0
na2,MCAV,>4cm,5
na2,MEAN,<4cm,0
na2,MMEA,>4cm,0
na2,MUSS,<4cm,0
na2,MYCE,>4cm,0
na2,OCUL,<4cm,1
na2,OCUL,>4cm,0
na2,ORBI,<4cm,0
na2,ORBI,>4cm,0
na2,PCLI,>4cm,0
na2,PORI,<4cm,0
na2,PORI,>4cm,0
na2,PSTR,>4cm,1
na2,SIDE,<4cm,1
na2,SIDE,>4cm,1
na2,SINT,<4cm,0
na2,SINT,>4cm,1
na2,SOLE,<4cm,0
na2,SOLE,>4cm,1
na3,AGAR,<4cm,0
na3,AGAR,>4cm,0
na3,CNAT,>4cm,0
na3,DLAB,>4cm,0
na3,DSTO,>4cm,1
na3,EFAS,>4cm,0
na3,FAVI,<4cm,0
na3,MADR,<4cm,0
na3,MADR,>4cm,0
na3,MCAV,<4cm,0
na3,MCAV,>4cm,4
na3,MEAN,<4cm,0
na3,MMEA,>4cm,0
na3,MUSS,<4cm,0
na3,MYCE,>4cm,0
na3,OCUL,<4cm,0
na3,OCUL,>4cm,0
na3,ORBI,<4cm,0
na3,ORBI,>4cm,0
na3,PCLI,>4cm,0
na3,PORI,<4cm,0
na3,PORI,>4cm,0
na3,PSTR,>4cm,0
na3,SIDE,<4cm,24
na3,SIDE,>4cm,0
na3,SINT,<4cm,0
na3,SINT,>4cm,1
na3,SOLE,<4cm,0
na3,SOLE,>4cm,0
na4,AGAR,<4cm,0
na4,AGAR,>4cm,0
na4,CNAT,>4cm,0
na4,DLAB,>4cm,0
na4,DSTO,>4cm,0
na4,EFAS,>4cm,0
na4,FAVI,<4cm,0
na4,MADR,<4cm,0
na4,MADR,>4cm,0
na4,MCAV,<4cm,0
na4,MCAV,>4cm,0
na4,MEAN,<4cm,0
na4,MMEA,>4cm,0
na4,MUSS,<4cm,0
na4,MYCE,>4cm,0
na4,OCUL,<4cm,0
na4,OCUL,>4cm,0
na4,ORBI,<4cm,0
na4,ORBI,>4cm,0
na4,PCLI,>4cm,0
na4,PORI,<4cm,2
na4,PORI,>4cm,1
na4,PSTR,>4cm,0
na4,SIDE,<4cm,50
na4,SIDE,>4cm,0
na4,SINT,<4cm,0
na4,SINT,>4cm,0
na4,SOLE,<4cm,0
na4,SOLE,>4cm,0
na5,AGAR,<4cm,0
na5,AGAR,>4cm,0
na5,CNAT,>4cm,0
na5,DLAB,>4cm,0
na5,DSTO,>4cm,0
na5,EFAS,>4cm,0
na5,FAVI,<4cm,0
na5,MADR,<4cm,0
na5,MADR,>4cm,0
na5,MCAV,<4cm,0
na5,MCAV,>4cm,0
na5,MEAN,<4cm,0
na5,MMEA,>4cm,0
na5,MUSS,<4cm,0
na5,MYCE,>4cm,0
na5,OCUL,<4cm,0
na5,OCUL,>4cm,0
na5,ORBI,<4cm,0
na5,ORBI,>4cm,0
na5,PCLI,>4cm,0
na5,PORI,<4cm,0
na5,PORI,>4cm,0
na5,PSTR,>4cm,0
na5,SIDE,<4cm,21
na5,SIDE,>4cm,0
na5,SINT,<4cm,0
na5,SINT,>4cm,0
na5,SOLE,<4cm,0
na5,SOLE,>4cm,2
na6,AGAR,<4cm,0
na6,AGAR,>4cm,0
na6,CNAT,>4cm,0
na6,DLAB,>4cm,0
na6,DSTO,>4cm,0
na6,EFAS,>4cm,0
na6,FAVI,<4cm,0
na6,MADR,<4cm,0
na6,MADR,>4cm,0
na6,MCAV,<4cm,0
na6,MCAV,>4cm,0
na6,MEAN,<4cm,0
na6,MMEA,>4cm,0
na6,MUSS,<4cm,0
na6,MYCE,>4cm,0
na6,OCUL,<4cm,0
na6,OCUL,>4cm,0
na6,ORBI,<4cm,0
na6,ORBI,>4cm,0
na6,PCLI,>4cm,0
na6,PORI,<4cm,0
na6,PORI,>4cm,0
na6,PSTR,>4cm,0
na6,SIDE,<4cm,17
na6,SIDE,>4cm,6
na6,SINT,<4cm,0
na6,SINT,>4cm,0
na6,SOLE,<4cm,0
na6,SOLE,>4cm,0
na7,AGAR,<4cm,0
na7,AGAR,>4cm,0
na7,CNAT,>4cm,0
na7,DLAB,>4cm,0
na7,DSTO,>4cm,0
na7,EFAS,>4cm,0
na7,FAVI,<4cm,0
na7,MADR,<4cm,0
na7,MADR,>4cm,0
na7,MCAV,<4cm,0
na7,MCAV,>4cm,0
na7,MEAN,<4cm,0
na7,MMEA,>4cm,0
na7,MUSS,<4cm,0
na7,MYCE,>4cm,0
na7,OCUL,<4cm,0
na7,OCUL,>4cm,0
na7,ORBI,<4cm,0
na7,ORBI,>4cm,0
na7,PCLI,>4cm,0
na7,PORI,<4cm,0
na7,PORI,>4cm,0
