taxon,class,Channel,Side Slopes,Depth_10cm,Depth_5cm,Depth_1cm,Depth_0_5cm,Depth_0_1cm,Nearshore,North,East,South,Rest of Monitoring Area,Total
ACER,<4cm,4 (0-17),4 (1-11),11 (3-29),11 (3-30),52 (15-141),35 (10-95),91 (25-247),13 (4-35),2 (0-9),1 (0-5),1 (0-4),311 (87-842),"536 (151-1,454)"
ACER,>4cm,25 (8-78),335 (175-600),"790 (414-1,417)","809 (424-1,447)","3,919 (2,054-7,008)","2,672 (1,400-4,779)","6,857 (3,596-12,247)","1,111 (580-1,982)",9 (1-32),5 (1-20),4 (1-14),"22,107 (11,597-39,524)","38,642 (20,276-69,118)"
AGAR,<4cm,443 (210-836),55 (23-119),230 (114-449),230 (114-443),"1,019 (500-2,000)","668 (330-1,315)","1,790 (848-3,628)",116 (31-303),403 (174-808),251 (108-504),179 (77-358),"7,670 (3,879-14,804)","13,054 (6,656-24,817)"
AGAR,>4cm,"2,202 (1,420-3,284)",250 (158-388),"970 (681-1,370)","972 (682-1,374)","4,285 (2,982-6,126)","2,835 (1,970-4,065)","7,244 (5,023-10,393)",474 (235-868),"1,888 (1,137-2,989)","1,177 (708-1,863)","837 (504-1,325)","32,241 (22,874-45,002)","55,374 (39,150-77,276)"
CNAT,>4cm,63 (16-155),7 (1-19),30 (9-70),31 (9-70),135 (41-314),89 (27-206),237 (70-558),16 (2-52),62 (15-157),39 (9-98),28 (7-70),"1,030 (329-2,292)","1,766 (568-3,906)"
DLAB,>4cm,189 (84-361),41 (19-79),127 (65-227),125 (64-223),"572 (290-1,025)",378 (190-680),"970 (487-1,759)",80 (26-179),106 (35-231),66 (22-144),47 (15-102),"3,901 (2,040-6,859)","6,604 (3,455-11,602)"
DSTO,>4cm,425 (278-628),435 (287-639),"1,255 (875-1,767)","1,255 (870-1,773)","5,941 (4,094-8,428)","3,949 (2,704-5,632)","10,717 (7,446-15,127)","1,300 (818-1,965)",277 (156-458),172 (97-285),123 (69-203),"37,015 (26,100-51,625)","62,862 (44,041-88,018)"
EFAS,>4cm,451 (258-729),63 (36-103),275 (173-416),262 (166-395),"1,163 (730-1,760)","738 (464-1,111)","2,084 (1,283-3,225)",55 (14-132),248 (114-458),154 (71-286),110 (51-203),"8,857 (5,593-13,354)","14,460 (9,183-21,711)"
FAVI,<4cm,468 (267-759),197 (116-315),561 (351-862),558 (347-860),"2,606 (1,609-4,044)","1,735 (1,064-2,705)","4,532 (2,790-7,085)",498 (260-868),238 (112-437),148 (70-272),106 (50-194),"16,623 (10,500-25,360)","28,269 (17,813-43,130)"
MADR,<4cm,"709 (395-1,187)",56 (26-119),254 (145-427),260 (149-435),"1,123 (633-1,931)","749 (423-1,290)","1,889 (1,054-3,277)",123 (38-301),"712 (389-1,201)",444 (242-748),316 (172-532),"8,899 (5,233-14,459)","15,534 (9,154-25,150)"
